event_name,event_type,day_of_week,start_time,location,promotion_channel,expected_audience,actual_attendance,budget,feedback_score,feedback_text
Open Cybersecurity Night,Social Event,Thursday,4PM,Student Center,Instagram,190,302,7018,2.9,"Turnout was disappointing, hard to stay engaged"
Community Innovation Forum,Networking,Tuesday,4PM,Student Center,Multiple,203,326,9475,2.5,"Turnout was disappointing, hard to stay engaged"
Emerging Networking Meetup,Hackathon,Tuesday,12PM,Engineering Hall,Multiple,415,614,5260,3.2,Average event could improve timing
Regional Entrepreneurship Forum,Hackathon,Saturday,12PM,Student Center,Multiple,405,491,5781,3.0,Average event could improve timing
Interactive AI Summit,Career Fair,Friday,6PM,Online,Multiple,196,424,7420,3.7,Good organization and networking
Applied Design Meetup,Career Fair,Tuesday,10AM,University Center,Instagram,186,190,3136,3.5,Interesting but promotion was weak
Regional Research Night,Seminar,Monday,2PM,Engineering Hall,Multiple,66,56,6376,2.7,"Turnout was disappointing, hard to stay engaged"
Community Design Showcase,Hackathon,Saturday,6PM,Engineering Hall,Multiple,249,310,4392,3.4,Average event could improve timing
Annual Data Science Showcase,Hackathon,Monday,4PM,Online,LinkedIn,453,641,5622,3.3,Average event could improve timing
Interactive Innovation Forum,Research Talk,Tuesday,6PM,Online,Instagram,374,430,6525,3.6,Average event could improve timing
Campus Innovation Forum,Networking,Saturday,12PM,Library,LinkedIn,140,76,1720,1.7,Too crowded and poorly managed
Campus Research Night,Workshop,Thursday,10AM,Online,Flyers,334,311,4829,2.5,Too crowded and poorly managed
Modern Data Science Night,Research Talk,Monday,2PM,Online,Instagram,70,58,3018,2.5,"Turnout was disappointing, hard to stay engaged"
Community Entrepreneurship Forum,Hackathon,Friday,2PM,Online,Multiple,331,535,6366,3.0,Good organization and networking
Interactive Cloud Computing Summit,Networking,Tuesday,6PM,University Center,Multiple,131,226,7314,1.5,Felt underprepared for the number of attendees
Modern Product Symposium,Research Talk,Tuesday,12PM,Library,Flyers,234,127,5309,2.1,Too crowded and poorly managed
Modern Research Meetup,Social Event,Saturday,10AM,University Center,Flyers,278,186,4437,3.1,Average event could improve timing
Community Design Summit,Workshop,Saturday,2PM,Online,Email,247,247,4703,2.6,Felt underprepared for the number of attendees
Applied Career Workshop,Social Event,Wednesday,6PM,Student Center,LinkedIn,299,313,1218,3.2,Interesting but promotion was weak
Regional Career Showcase,Social Event,Monday,10AM,Engineering Hall,Multiple,323,287,620,3.1,Average event could improve timing
Regional Innovation Showcase,Hackathon,Tuesday,4PM,University Center,Instagram,325,493,7630,3.2,Average event could improve timing
Campus Design Forum,Networking,Monday,4PM,Library,Email,94,72,1700,3.0,Good organization and networking
Advanced Cloud Computing Workshop,Workshop,Friday,12PM,Library,LinkedIn,248,261,7891,3.5,Average event could improve timing
Modern Data Science Showcase,Workshop,Thursday,10AM,Student Center,Email,378,385,1536,3.7,Average event could improve timing
Regional Design Night,Seminar,Monday,2PM,Student Center,Email,198,130,5437,2.4,Felt underprepared for the number of attendees
Campus Innovation Symposium,Career Fair,Thursday,4PM,University Center,LinkedIn,130,245,9240,2.5,Too crowded and poorly managed
Interactive Product Meetup,Seminar,Friday,2PM,Engineering Hall,Flyers,396,236,6613,2.7,Too crowded and poorly managed
Regional Design Meetup,Workshop,Monday,10AM,Student Center,Multiple,251,310,9300,3.3,Average event could improve timing
Campus Robotics Meetup,Hackathon,Saturday,2PM,Engineering Hall,LinkedIn,380,309,8897,3.1,Good organization and networking
Interactive Cybersecurity Showcase,Social Event,Wednesday,12PM,University Center,Instagram,393,623,9794,2.4,Too crowded and poorly managed
Modern Cybersecurity Workshop,Social Event,Monday,2PM,University Center,Flyers,100,75,3734,3.0,Average event could improve timing
Emerging Cybersecurity Symposium,Research Talk,Tuesday,12PM,University Center,Flyers,367,219,1643,2.0,Too crowded and poorly managed
Emerging Cloud Computing Meetup,Research Talk,Friday,2PM,Student Center,Instagram,339,337,9787,3.2,Interesting but promotion was weak
Applied Innovation Workshop,Workshop,Wednesday,12PM,Engineering Hall,LinkedIn,191,219,6389,3.0,Good organization and networking
Campus Networking Forum,Career Fair,Thursday,4PM,Library,Flyers,299,397,9538,3.6,Good organization and networking
Regional Data Science Night,Workshop,Wednesday,12PM,Student Center,Instagram,184,228,1752,2.6,Felt underprepared for the number of attendees
Interactive Design Forum,Social Event,Saturday,10AM,Student Center,Multiple,257,212,3985,2.9,Too crowded and poorly managed
Collaborative Product Forum,Social Event,Thursday,12PM,Library,LinkedIn,164,146,5267,3.1,Good organization and networking
Applied Robotics Night,Workshop,Thursday,2PM,Student Center,Email,389,431,4413,3.0,Average event could improve timing
Campus Innovation Showcase,Social Event,Tuesday,4PM,Engineering Hall,Instagram,339,409,9770,3.3,Average event could improve timing
Emerging Career Summit,Career Fair,Wednesday,10AM,Engineering Hall,LinkedIn,168,144,1529,2.7,"Turnout was disappointing, hard to stay engaged"
Annual Networking Workshop,Hackathon,Tuesday,6PM,Library,LinkedIn,290,373,7948,3.2,Good organization and networking
Campus Cloud Computing Showcase,Workshop,Saturday,6PM,Library,Flyers,346,328,9418,3.2,Average event could improve timing
Interactive Cloud Computing Workshop,Career Fair,Wednesday,6PM,University Center,Multiple,178,338,6665,2.6,Too crowded and poorly managed
Collaborative Robotics Meetup,Seminar,Wednesday,4PM,Online,Multiple,53,76,8722,3.0,Good organization and networking
Modern Innovation Night,Workshop,Friday,2PM,Engineering Hall,Instagram,145,152,3078,2.3,"Turnout was disappointing, hard to stay engaged"
Applied Cybersecurity Symposium,Workshop,Saturday,12PM,Online,Flyers,418,351,2356,2.2,"Turnout was disappointing, hard to stay engaged"
Modern Research Meetup,Networking,Friday,12PM,Online,Email,174,200,1206,3.0,Good organization and networking
Open Robotics Forum,Networking,Saturday,6PM,University Center,Multiple,125,147,1416,2.7,Too crowded and poorly managed
Modern Cybersecurity Night,Career Fair,Friday,6PM,University Center,Flyers,93,120,4048,3.1,Interesting but promotion was weak
Applied Product Workshop,Career Fair,Tuesday,12PM,Online,Multiple,123,221,3479,3.4,Average event could improve timing
Advanced Cloud Computing Meetup,Networking,Saturday,2PM,Online,Multiple,352,354,1627,3.6,Good organization and networking
Modern AI Meetup,Workshop,Monday,12PM,Student Center,Multiple,400,636,7377,2.9,Too crowded and poorly managed
Collaborative Networking Meetup,Career Fair,Friday,6PM,University Center,Multiple,307,641,2425,2.3,Too crowded and poorly managed
Community Product Symposium,Social Event,Friday,10AM,Online,Multiple,265,364,6568,2.6,Too crowded and poorly managed
Advanced Robotics Workshop,Networking,Thursday,4PM,Library,Multiple,461,674,9939,3.7,Good organization and networking
Open Career Summit,Career Fair,Tuesday,10AM,Library,Multiple,498,696,9408,3.5,Interesting but promotion was weak
Advanced Networking Meetup,Hackathon,Saturday,10AM,Student Center,Multiple,110,122,9015,3.1,Good organization and networking
Modern Design Workshop,Hackathon,Wednesday,4PM,Library,Email,129,136,7480,3.2,Average event could improve timing
Advanced Career Symposium,Seminar,Friday,4PM,Student Center,Flyers,363,260,5014,2.6,Felt underprepared for the number of attendees
Open Design Forum,Social Event,Friday,4PM,Engineering Hall,Flyers,336,360,9591,3.3,Interesting but promotion was weak
Community Robotics Summit,Research Talk,Saturday,4PM,Engineering Hall,Email,432,255,4264,2.5,"Turnout was disappointing, hard to stay engaged"
Advanced Networking Summit,Networking,Friday,4PM,Library,Multiple,364,421,1352,3.5,Good organization and networking
Open Career Workshop,Seminar,Monday,12PM,Online,Multiple,272,326,1944,3.5,Good organization and networking
Community Research Summit,Workshop,Friday,10AM,Online,LinkedIn,364,462,9036,2.8,"Turnout was disappointing, hard to stay engaged"
Global Data Science Night,Seminar,Tuesday,4PM,Online,Email,153,146,8989,3.2,Interesting but promotion was weak
Global Networking Summit,Social Event,Friday,6PM,Engineering Hall,Multiple,136,208,1090,3.5,Interesting but promotion was weak
Modern Career Forum,Networking,Monday,2PM,Online,Flyers,392,322,6974,3.0,Interesting but promotion was weak
Emerging Entrepreneurship Night,Workshop,Saturday,10AM,University Center,Multiple,195,212,9660,3.3,Average event could improve timing
Open Robotics Symposium,Research Talk,Tuesday,6PM,Engineering Hall,LinkedIn,256,241,9919,2.7,Too crowded and poorly managed
Interactive Design Forum,Social Event,Monday,6PM,University Center,Multiple,200,286,6070,2.8,Too crowded and poorly managed
Emerging Cybersecurity Showcase,Seminar,Friday,2PM,Online,LinkedIn,338,359,8423,3.1,Good organization and networking
Applied Career Showcase,Career Fair,Friday,10AM,Online,Email,182,176,1606,2.8,"Turnout was disappointing, hard to stay engaged"
Community Design Meetup,Hackathon,Tuesday,2PM,Online,Flyers,314,340,9276,3.5,Good organization and networking
Emerging Entrepreneurship Meetup,Research Talk,Monday,4PM,Library,Email,333,171,3424,2.3,"Turnout was disappointing, hard to stay engaged"
Community Career Night,Social Event,Wednesday,12PM,Engineering Hall,LinkedIn,427,421,3771,2.8,Too crowded and poorly managed
Regional AI Summit,Research Talk,Tuesday,12PM,Engineering Hall,Instagram,478,389,6333,3.2,Good organization and networking
Collaborative Entrepreneurship Forum,Hackathon,Saturday,4PM,Student Center,Email,441,557,9371,2.7,Too crowded and poorly managed
Advanced Career Night,Research Talk,Thursday,6PM,Library,LinkedIn,143,159,8874,3.1,Interesting but promotion was weak
Interactive Entrepreneurship Symposium,Social Event,Tuesday,10AM,Student Center,LinkedIn,294,238,9359,2.6,Too crowded and poorly managed
Emerging Innovation Summit,Seminar,Saturday,12PM,Online,Email,407,348,8990,3.8,Interesting but promotion was weak
Modern Design Meetup,Workshop,Saturday,12PM,Online,Multiple,101,156,5831,3.0,Interesting but promotion was weak
Campus Cybersecurity Symposium,Social Event,Wednesday,12PM,Library,LinkedIn,363,350,6121,2.7,"Turnout was disappointing, hard to stay engaged"
Modern Robotics Forum,Networking,Thursday,2PM,Library,LinkedIn,193,181,7884,3.0,Good organization and networking
Global Robotics Night,Hackathon,Tuesday,10AM,Library,Instagram,334,249,7581,2.6,"Turnout was disappointing, hard to stay engaged"
Applied Product Forum,Hackathon,Tuesday,4PM,University Center,Instagram,265,333,8685,2.9,Too crowded and poorly managed
Advanced AI Showcase,Hackathon,Wednesday,4PM,Library,Flyers,337,348,9803,3.5,Good organization and networking
Community Entrepreneurship Workshop,Networking,Monday,12PM,Library,LinkedIn,479,290,2077,2.8,"Turnout was disappointing, hard to stay engaged"
Regional Entrepreneurship Night,Research Talk,Wednesday,6PM,Student Center,Flyers,226,145,824,2.7,"Turnout was disappointing, hard to stay engaged"
Open Entrepreneurship Workshop,Hackathon,Friday,12PM,Student Center,Multiple,382,710,9321,2.6,Too crowded and poorly managed
Applied Robotics Night,Hackathon,Friday,4PM,Online,Email,245,296,5194,3.9,Interesting but promotion was weak
Regional Robotics Workshop,Networking,Saturday,2PM,Online,Multiple,342,485,7131,3.2,Good organization and networking
Collaborative Entrepreneurship Showcase,Networking,Wednesday,2PM,Library,Flyers,359,272,6979,2.5,"Turnout was disappointing, hard to stay engaged"
Community Career Showcase,Social Event,Friday,4PM,Online,Instagram,144,184,878,3.6,Good organization and networking
Regional Cybersecurity Forum,Research Talk,Saturday,10AM,Engineering Hall,Instagram,253,113,2187,2.3,Too crowded and poorly managed
Campus AI Showcase,Workshop,Monday,4PM,Student Center,Email,103,114,4800,3.5,Average event could improve timing
Interactive Robotics Summit,Career Fair,Wednesday,12PM,Engineering Hall,Flyers,276,250,2571,3.1,Good organization and networking
Interactive Cybersecurity Meetup,Workshop,Saturday,2PM,Library,LinkedIn,289,252,9356,3.8,Interesting but promotion was weak
Interactive Networking Showcase,Hackathon,Friday,12PM,Student Center,Multiple,283,438,9740,2.6,"Turnout was disappointing, hard to stay engaged"
Open Entrepreneurship Symposium,Social Event,Wednesday,2PM,Online,Multiple,166,264,1967,2.8,"Turnout was disappointing, hard to stay engaged"
Open Cybersecurity Forum,Research Talk,Tuesday,2PM,University Center,Email,317,233,2733,3.9,Interesting but promotion was weak
Modern Career Night,Workshop,Saturday,4PM,Online,Flyers,54,57,7552,3.1,Interesting but promotion was weak
Global Robotics Showcase,Workshop,Friday,2PM,Engineering Hall,LinkedIn,337,325,7661,2.6,"Turnout was disappointing, hard to stay engaged"
Applied Career Forum,Hackathon,Saturday,4PM,Online,Instagram,184,216,1797,3.4,Interesting but promotion was weak
Global AI Meetup,Seminar,Friday,2PM,Library,Multiple,464,373,4904,3.2,Interesting but promotion was weak
Modern Cybersecurity Meetup,Networking,Wednesday,10AM,Online,Multiple,281,402,4958,3.0,Average event could improve timing
Open Design Meetup,Research Talk,Monday,12PM,University Center,Multiple,61,63,3546,2.4,Too crowded and poorly managed
Global Entrepreneurship Symposium,Hackathon,Thursday,10AM,Engineering Hall,Email,127,112,741,2.6,"Turnout was disappointing, hard to stay engaged"
Annual Design Night,Research Talk,Thursday,2PM,Online,Email,219,232,1814,2.5,Too crowded and poorly managed
Annual AI Night,Career Fair,Monday,6PM,Online,Instagram,148,239,4597,3.8,Interesting but promotion was weak
Collaborative Innovation Night,Hackathon,Tuesday,4PM,Online,Instagram,427,524,1049,2.5,Too crowded and poorly managed
Campus Networking Showcase,Workshop,Friday,12PM,Online,LinkedIn,398,524,5613,2.9,"Turnout was disappointing, hard to stay engaged"
Open Career Workshop,Workshop,Saturday,6PM,Student Center,Email,179,234,8384,3.4,Average event could improve timing
Annual Robotics Night,Workshop,Saturday,12PM,University Center,Instagram,374,423,7613,2.7,"Turnout was disappointing, hard to stay engaged"
Community Cybersecurity Showcase,Research Talk,Friday,10AM,Online,Instagram,54,42,1188,2.9,Felt underprepared for the number of attendees
Applied Research Workshop,Social Event,Tuesday,2PM,University Center,Instagram,130,166,8690,2.9,Too crowded and poorly managed
Interactive AI Meetup,Seminar,Saturday,10AM,University Center,Flyers,380,167,3021,2.4,Felt underprepared for the number of attendees
Global Data Science Showcase,Career Fair,Tuesday,2PM,Student Center,Flyers,462,440,7687,2.9,Felt underprepared for the number of attendees
Open Product Showcase,Career Fair,Wednesday,12PM,Library,Email,298,318,7668,3.1,Average event could improve timing
Collaborative Design Night,Career Fair,Tuesday,6PM,Engineering Hall,Multiple,228,398,5803,3.4,Average event could improve timing
Open Design Forum,Seminar,Friday,6PM,Engineering Hall,Email,321,275,3039,2.4,"Turnout was disappointing, hard to stay engaged"
Modern Entrepreneurship Night,Research Talk,Thursday,10AM,Student Center,LinkedIn,425,306,3539,2.8,Too crowded and poorly managed
Interactive Networking Symposium,Social Event,Tuesday,2PM,University Center,Multiple,469,739,6848,3.3,Good organization and networking
Emerging AI Summit,Seminar,Friday,12PM,Student Center,Flyers,215,154,7214,2.2,Felt underprepared for the number of attendees
Regional Cybersecurity Meetup,Social Event,Saturday,10AM,University Center,Instagram,141,107,1012,2.1,Too crowded and poorly managed
Emerging Career Forum,Workshop,Monday,6PM,Online,LinkedIn,319,360,4693,3.1,Good organization and networking
Applied Data Science Workshop,Hackathon,Monday,10AM,Engineering Hall,LinkedIn,476,312,1810,1.7,"Turnout was disappointing, hard to stay engaged"
Annual Innovation Summit,Social Event,Saturday,4PM,Library,Email,471,393,4855,3.0,Average event could improve timing
Global Product Symposium,Seminar,Wednesday,10AM,Engineering Hall,Multiple,99,86,2158,3.2,Average event could improve timing
Community Product Symposium,Networking,Tuesday,6PM,Engineering Hall,Multiple,370,515,3431,2.5,Felt underprepared for the number of attendees
Campus Robotics Forum,Hackathon,Monday,6PM,Library,LinkedIn,409,396,7497,3.4,Good organization and networking
Emerging Product Workshop,Career Fair,Friday,2PM,Engineering Hall,Multiple,357,558,7758,3.5,Interesting but promotion was weak
Interactive Career Symposium,Seminar,Wednesday,4PM,Online,Flyers,361,357,4443,3.2,Average event could improve timing
Community Data Science Workshop,Seminar,Friday,2PM,Library,LinkedIn,279,224,7005,3.3,Good organization and networking
Global Entrepreneurship Summit,Social Event,Monday,6PM,Engineering Hall,Flyers,53,41,5420,2.6,Too crowded and poorly managed
Campus AI Summit,Seminar,Saturday,2PM,Student Center,Multiple,334,303,9849,2.7,Felt underprepared for the number of attendees
Open Design Summit,Career Fair,Wednesday,12PM,Engineering Hall,Flyers,237,234,4593,3.0,Good organization and networking
Campus Cybersecurity Night,Social Event,Thursday,6PM,Engineering Hall,Email,420,646,5819,2.6,"Turnout was disappointing, hard to stay engaged"
Community Research Symposium,Hackathon,Saturday,6PM,University Center,Multiple,378,573,5421,2.8,Too crowded and poorly managed
Community Networking Night,Workshop,Monday,2PM,Library,LinkedIn,263,167,2474,2.6,Too crowded and poorly managed
Interactive Research Meetup,Social Event,Monday,4PM,University Center,Flyers,318,270,1174,2.9,"Turnout was disappointing, hard to stay engaged"
Modern Research Forum,Research Talk,Friday,12PM,Engineering Hall,Email,394,351,6936,3.1,Interesting but promotion was weak
Regional Cybersecurity Forum,Workshop,Tuesday,4PM,Library,LinkedIn,125,105,2665,2.0,"Turnout was disappointing, hard to stay engaged"
Advanced Innovation Meetup,Hackathon,Monday,6PM,Online,Flyers,93,117,7029,4.3,Very engaging and useful session
Modern Career Forum,Seminar,Tuesday,4PM,Student Center,Instagram,299,256,6976,2.5,Felt underprepared for the number of attendees
Emerging Networking Forum,Social Event,Saturday,6PM,Engineering Hall,Instagram,86,91,4862,3.4,Interesting but promotion was weak
Emerging Research Showcase,Workshop,Monday,4PM,Online,Flyers,228,243,3620,3.2,Interesting but promotion was weak
Campus Cybersecurity Summit,Workshop,Wednesday,12PM,Library,Multiple,470,654,7745,2.8,Felt underprepared for the number of attendees
Community Data Science Meetup,Seminar,Tuesday,12PM,Library,Instagram,437,318,1905,2.9,Too crowded and poorly managed
Collaborative Cybersecurity Summit,Social Event,Tuesday,2PM,University Center,Flyers,405,327,2323,2.4,"Turnout was disappointing, hard to stay engaged"
Interactive Cybersecurity Forum,Research Talk,Tuesday,6PM,Engineering Hall,Instagram,329,371,9073,3.2,Interesting but promotion was weak
Open Robotics Summit,Hackathon,Tuesday,10AM,Online,Multiple,389,639,9131,3.8,Good organization and networking
Advanced Networking Workshop,Research Talk,Tuesday,6PM,Library,Email,288,207,636,2.5,Too crowded and poorly managed
Advanced Product Showcase,Hackathon,Saturday,2PM,University Center,Email,199,225,6832,3.2,Good organization and networking
Interactive Cybersecurity Forum,Workshop,Wednesday,4PM,Student Center,Multiple,95,157,3554,2.5,Too crowded and poorly managed
Advanced Innovation Meetup,Hackathon,Monday,10AM,Engineering Hall,Multiple,206,241,5965,3.5,Interesting but promotion was weak
Annual Networking Workshop,Workshop,Wednesday,2PM,Library,Flyers,170,138,8712,2.5,"Turnout was disappointing, hard to stay engaged"
Applied Robotics Summit,Career Fair,Monday,6PM,Library,Instagram,127,153,6099,3.3,Interesting but promotion was weak
Campus Cloud Computing Workshop,Hackathon,Thursday,6PM,Student Center,Instagram,263,490,4438,3.3,Average event could improve timing
Interactive Networking Night,Social Event,Wednesday,4PM,Student Center,Instagram,155,191,2770,3.1,Average event could improve timing
Modern Robotics Workshop,Networking,Tuesday,2PM,Student Center,Instagram,270,237,2878,3.1,Average event could improve timing
Annual Entrepreneurship Symposium,Workshop,Friday,6PM,University Center,Instagram,212,273,2884,3.3,Average event could improve timing
Campus Robotics Summit,Career Fair,Wednesday,4PM,Library,Instagram,448,486,3579,3.6,Good organization and networking
Global Career Showcase,Seminar,Friday,6PM,Library,Multiple,340,409,4283,3.4,Average event could improve timing
Applied Entrepreneurship Meetup,Workshop,Wednesday,10AM,Online,Instagram,307,430,8180,3.6,Average event could improve timing
Annual Cloud Computing Night,Seminar,Thursday,4PM,Online,Instagram,133,147,3666,3.0,Good organization and networking
Campus Cybersecurity Night,Workshop,Wednesday,4PM,Engineering Hall,Instagram,437,520,3851,2.7,Too crowded and poorly managed
Modern Innovation Night,Social Event,Thursday,2PM,Online,Instagram,268,420,7133,2.4,Too crowded and poorly managed
Interactive Product Showcase,Career Fair,Saturday,2PM,Online,Multiple,430,706,9870,2.4,Felt underprepared for the number of attendees
Interactive Product Symposium,Hackathon,Monday,6PM,University Center,LinkedIn,283,301,1194,3.0,Good organization and networking
Open Cybersecurity Symposium,Hackathon,Monday,6PM,Online,Multiple,441,670,1307,3.1,Good organization and networking
Interactive Robotics Symposium,Research Talk,Wednesday,4PM,Engineering Hall,LinkedIn,200,158,1393,2.5,Felt underprepared for the number of attendees
Community Product Meetup,Seminar,Saturday,4PM,University Center,Multiple,107,114,3445,2.2,Felt underprepared for the number of attendees
Community Career Symposium,Career Fair,Thursday,2PM,Online,Email,141,261,7933,2.6,Felt underprepared for the number of attendees
Collaborative Networking Workshop,Workshop,Wednesday,2PM,Engineering Hall,Email,96,91,2370,2.8,Felt underprepared for the number of attendees
Advanced Data Science Night,Workshop,Friday,4PM,Student Center,Multiple,131,204,6704,3.0,Average event could improve timing
Community Data Science Symposium,Networking,Wednesday,6PM,Engineering Hall,Instagram,494,536,2869,3.7,Good organization and networking
Annual Research Night,Research Talk,Wednesday,4PM,Library,Instagram,110,82,2655,2.0,Too crowded and poorly managed
Collaborative Career Meetup,Research Talk,Monday,4PM,Online,LinkedIn,328,256,594,3.0,Average event could improve timing
Modern Data Science Meetup,Social Event,Saturday,4PM,Online,LinkedIn,276,279,1800,3.3,Average event could improve timing
Annual Networking Workshop,Social Event,Wednesday,6PM,Student Center,Instagram,75,109,3528,3.0,Good organization and networking
Annual AI Symposium,Workshop,Tuesday,10AM,Student Center,Multiple,202,271,5924,3.3,Good organization and networking
Collaborative Innovation Forum,Networking,Tuesday,2PM,Student Center,Multiple,343,399,9710,3.1,Good organization and networking
Advanced Product Summit,Research Talk,Monday,10AM,Library,Flyers,238,91,6708,2.4,Too crowded and poorly managed
Interactive Career Showcase,Research Talk,Thursday,12PM,University Center,Flyers,218,198,9135,2.6,"Turnout was disappointing, hard to stay engaged"
Collaborative Innovation Showcase,Networking,Friday,10AM,University Center,Multiple,423,518,9166,2.8,Too crowded and poorly managed
Interactive Research Forum,Social Event,Saturday,2PM,Online,Multiple,484,684,5685,2.3,"Turnout was disappointing, hard to stay engaged"
Campus Research Meetup,Research Talk,Tuesday,6PM,Student Center,LinkedIn,316,320,8654,3.3,Interesting but promotion was weak
Regional Innovation Night,Hackathon,Wednesday,12PM,University Center,Email,62,92,8116,2.8,Felt underprepared for the number of attendees
Applied Career Summit,Networking,Friday,4PM,Online,Email,220,240,6228,2.5,Felt underprepared for the number of attendees
Interactive Entrepreneurship Night,Hackathon,Tuesday,2PM,Library,Email,207,163,5419,2.4,Felt underprepared for the number of attendees
Annual Robotics Meetup,Workshop,Monday,2PM,Library,LinkedIn,420,372,9821,3.1,Average event could improve timing
Campus Networking Symposium,Research Talk,Wednesday,4PM,Online,Email,380,389,2724,3.2,Interesting but promotion was weak
Open Research Showcase,Seminar,Friday,2PM,Online,LinkedIn,430,334,1417,2.4,Felt underprepared for the number of attendees
Emerging Entrepreneurship Summit,Hackathon,Wednesday,6PM,Student Center,Email,156,288,9960,3.4,Average event could improve timing
Modern Research Symposium,Networking,Wednesday,10AM,Library,LinkedIn,370,305,9253,2.8,Too crowded and poorly managed
Advanced AI Symposium,Networking,Friday,10AM,Library,Flyers,413,176,1018,2.4,"Turnout was disappointing, hard to stay engaged"
Regional Entrepreneurship Night,Networking,Wednesday,4PM,Library,Instagram,318,321,5453,3.2,Good organization and networking
Campus Career Workshop,Workshop,Tuesday,10AM,Online,Multiple,62,100,8407,2.9,Felt underprepared for the number of attendees
Applied Robotics Meetup,Career Fair,Saturday,6PM,Library,Flyers,123,83,2109,2.8,Felt underprepared for the number of attendees
Annual Networking Night,Hackathon,Monday,4PM,Online,Multiple,109,164,567,3.5,Interesting but promotion was weak
Community Design Summit,Social Event,Monday,2PM,Online,Email,102,128,9029,3.1,Average event could improve timing
Interactive Entrepreneurship Night,Social Event,Wednesday,12PM,Library,Instagram,148,138,5195,3.3,Interesting but promotion was weak
Annual Research Forum,Career Fair,Saturday,10AM,Library,Instagram,130,90,4983,2.4,Too crowded and poorly managed
Campus Innovation Night,Social Event,Monday,12PM,Student Center,Flyers,331,280,5718,3.6,Interesting but promotion was weak
Collaborative Data Science Meetup,Research Talk,Friday,12PM,Engineering Hall,Email,209,144,6049,2.3,Felt underprepared for the number of attendees
Advanced Robotics Showcase,Workshop,Thursday,10AM,University Center,LinkedIn,77,81,1910,4.0,Loved the speakers and content
Community Networking Night,Social Event,Friday,4PM,Student Center,Flyers,209,173,5944,2.3,Too crowded and poorly managed
Collaborative Design Showcase,Social Event,Monday,4PM,Student Center,Instagram,97,116,8172,3.1,Good organization and networking
Open Entrepreneurship Symposium,Hackathon,Saturday,4PM,Online,Instagram,164,166,2854,3.3,Average event could improve timing
Collaborative AI Workshop,Networking,Saturday,2PM,Library,LinkedIn,299,145,995,2.8,Too crowded and poorly managed
Interactive AI Symposium,Career Fair,Thursday,12PM,Library,Flyers,359,406,9915,3.8,Good organization and networking
Interactive Cybersecurity Symposium,Seminar,Saturday,10AM,Library,Multiple,382,215,1662,3.0,Interesting but promotion was weak
Advanced AI Workshop,Social Event,Thursday,12PM,Student Center,Instagram,330,396,3105,2.5,"Turnout was disappointing, hard to stay engaged"
Community Career Meetup,Networking,Saturday,6PM,Online,LinkedIn,340,441,6106,3.3,Average event could improve timing
Interactive AI Night,Hackathon,Saturday,10AM,Student Center,LinkedIn,108,91,8084,2.6,"Turnout was disappointing, hard to stay engaged"
Modern Cloud Computing Workshop,Career Fair,Tuesday,2PM,Online,Email,356,397,2281,3.5,Average event could improve timing
Applied Data Science Night,Career Fair,Saturday,10AM,University Center,Instagram,468,466,2776,3.5,Average event could improve timing
Modern Cybersecurity Meetup,Networking,Saturday,12PM,Online,Multiple,199,237,6889,3.3,Average event could improve timing
Community Entrepreneurship Summit,Networking,Saturday,2PM,Library,Multiple,456,413,5489,2.7,"Turnout was disappointing, hard to stay engaged"
Annual Entrepreneurship Forum,Social Event,Monday,6PM,Student Center,LinkedIn,483,446,2589,2.5,"Turnout was disappointing, hard to stay engaged"
Global Cloud Computing Showcase,Workshop,Monday,6PM,Library,Email,490,447,5123,2.7,Too crowded and poorly managed
Global Networking Meetup,Social Event,Thursday,2PM,Online,LinkedIn,245,303,7630,2.9,Felt underprepared for the number of attendees
Campus Design Night,Career Fair,Tuesday,12PM,Student Center,LinkedIn,481,620,6402,3.2,Interesting but promotion was weak
Community Cybersecurity Showcase,Hackathon,Tuesday,12PM,University Center,Email,381,348,757,3.4,Good organization and networking
Modern Cloud Computing Forum,Career Fair,Tuesday,10AM,Engineering Hall,LinkedIn,490,500,7971,3.2,Average event could improve timing
Emerging Career Meetup,Networking,Thursday,6PM,Online,Multiple,469,1067,7873,2.2,"Turnout was disappointing, hard to stay engaged"
Interactive Design Symposium,Career Fair,Friday,10AM,Student Center,LinkedIn,483,499,4378,2.6,Felt underprepared for the number of attendees
Emerging AI Forum,Social Event,Friday,2PM,University Center,Email,340,441,8417,3.4,Average event could improve timing
Interactive AI Forum,Career Fair,Saturday,10AM,Engineering Hall,Multiple,489,561,5078,4.0,Loved the speakers and content
Open Research Summit,Social Event,Monday,12PM,Online,Email,400,474,9334,3.2,Average event could improve timing
Community Entrepreneurship Symposium,Research Talk,Friday,10AM,Online,LinkedIn,312,301,8187,2.8,Felt underprepared for the number of attendees
Modern Design Summit,Research Talk,Wednesday,2PM,Engineering Hall,Email,405,281,5481,2.2,Felt underprepared for the number of attendees
Modern Data Science Workshop,Hackathon,Thursday,6PM,Engineering Hall,Multiple,76,155,5280,3.0,Average event could improve timing
Campus Research Workshop,Career Fair,Monday,12PM,Student Center,Email,485,456,5052,3.6,Interesting but promotion was weak
Collaborative Entrepreneurship Night,Research Talk,Wednesday,10AM,University Center,Multiple,139,125,2976,2.8,Felt underprepared for the number of attendees
Emerging AI Meetup,Networking,Wednesday,12PM,Online,Instagram,459,682,9140,2.8,Too crowded and poorly managed
